Name,Score,Date
,,
xxX_Gamer_Xxx,10,2021/04/09 14:25:50
xxX_Gamer_Xxx,13,2021/04/09 14:27:24
xxX_Gamer2_Xxx,99,2021/04/09 14:27:24
xxX_Gamer2_Xxx,10,2021/05/05 14:47:38
Mood,1909999999,2021/05/05 14:48:03
g,10,2021/05/06 08:25:26
g,16,2021/05/06 08:54:23
g,13,2021/05/06 08:55:22
g,10,2021/05/06 13:51:54
g,11,2021/05/07 09:03:56
g,10,2021/05/07 09:18:16
g,10,2021/05/07 09:19:54
g,10,2021/05/07 09:23:23
g,10,2021/05/07 09:28:33
g,10,2021/05/07 10:31:11
g,16,2021/05/07 10:34:35
g,15,2021/05/07 10:34:54
g,10,2021/05/07 10:35:00
g,13,2021/05/07 10:35:13
g,10,2021/05/07 10:49:53
g,68,2021/05/07 10:59:06
g,15,2021/05/07 12:26:21
g,12,2021/05/07 12:26:37
g,10,2021/05/07 12:30:20
g,10,2021/05/07 12:48:35
g,2147483557,2021/05/07 12:59:46
g,26,2021/05/07 13:09:16
g,10,2021/05/07 13:18:53
g,12,2021/05/07 13:21:13
g,12,2021/05/07 13:22:43
g,87,2021/05/07 14:35:21
g,13,2021/05/07 17:06:07
g,36,2021/05/07 22:33:46
g,11,2021/05/07 22:46:14
g,11,2021/05/07 22:48:36
g,14,2021/05/07 22:54:45
g,10,2021/05/07 13:08:46
g,15,2021/05/07 23:15:01
g,44,2021/05/07 23:15:58
